file,rel_path,porosity,shift,target_peak,offset,status
6-6-20 全部_z1216_y1167_x836.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1167_x836.npy,0.026013612747192383,-7,149,28,ok
6-6-20 全部_z1216_y1167_x900.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1167_x900.npy,0.020996689796447754,-7,149,28,ok
6-6-20 全部_z1216_y1167_x964.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1167_x964.npy,0.01067507266998291,-7,149,28,ok
6-6-20 全部_z1216_y719_x900.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y719_x900.npy,0.01455599069595337,-3,149,28,ok
6-6-20 全部_z1216_y783_x836.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y783_x836.npy,0.018586575984954834,4,149,28,ok
6-6-20 全部_z1216_y783_x900.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y783_x900.npy,0.022622644901275635,3,149,28,ok
6-6-20 全部_z1216_y783_x964.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y783_x964.npy,0.017624497413635254,3,149,28,ok
6-6-20 全部_z1216_y847_x1028.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y847_x1028.npy,0.01289355754852295,3,149,28,ok
6-6-20 全部_z1216_y847_x772.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y847_x772.npy,0.01586735248565674,5,149,28,ok
6-6-20 全部_z1216_y847_x836.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y847_x836.npy,0.01919633150100708,5,149,28,ok
6-6-20 全部_z1216_y847_x900.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y847_x900.npy,0.02164757251739502,4,149,28,ok
6-6-20 全部_z1216_y847_x964.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y847_x964.npy,0.01560068130493164,5,149,28,ok
6-6-20 全部_z1216_y911_x1028.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y911_x1028.npy,0.01492530107498169,3,149,28,ok
6-6-20 全部_z1216_y911_x1092.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y911_x1092.npy,0.011157989501953125,0,149,28,ok
