file,rel_path,porosity,scale_factor,orig_peak,clip_ratio,status
6-6-21_z3520_y574_x515.npy,6-6-21_z3520_y574_x515.npy,0.07598221302032471,0.7900320527289965,44302,0.0,ok
6-6-20 全部_z6976_y236_x423.npy,6-6-20 全部_z6976_y236_x423.npy,0.07599294185638428,0.8545130496350009,40959,0.0,ok
6-6-20 全部_z2752_y333_x246.npy,6-6-20 全部_z2752_y333_x246.npy,0.07600295543670654,0.7891058303647923,44354,0.0,ok
6-6-21_z4032_y497_x579.npy,6-6-21_z4032_y497_x579.npy,0.07605278491973877,0.8034156643099807,43564,0.0,ok
6-6-21_z1664_y512_x501.npy,6-6-21_z1664_y512_x501.npy,0.07607102394104004,0.8282063416942735,42260,0.0,ok
6-6-21_z704_y507_x571.npy,6-6-21_z704_y507_x571.npy,0.07608801126480103,0.7453469057455598,46958,0.0,ok
6-6-21_z576_y311_x516.npy,6-6-21_z576_y311_x516.npy,0.07609033584594727,0.7225284366548997,48441,0.0,ok
6-6-21_z1344_y640_x513.npy,6-6-21_z1344_y640_x513.npy,0.07610183954238892,0.7322482112222268,47798,0.0,ok
6-6-21_z3584_y636_x386.npy,6-6-21_z3584_y636_x386.npy,0.07610905170440674,0.7447600808596659,46995,0.0,ok
6-6-21_z2112_y329_x567.npy,6-6-21_z2112_y329_x567.npy,0.07610958814620972,0.7695521206657725,45481,0.0,ok
6-6-21_z768_y444_x569.npy,6-6-21_z768_y444_x569.npy,0.07614445686340332,0.7326007326007326,47775,0.0,ok
6-6-22_z2880_y449_x571.npy,6-6-22_z2880_y449_x571.npy,0.07615327835083008,0.8857620084020853,39514,0.0,ok
6-6-22_z3776_y249_x511.npy,6-6-22_z3776_y249_x511.npy,0.07624512910842896,0.84298754786965,41519,0.0,ok
6-6-22_z1344_y448_x624.npy,6-6-22_z1344_y448_x624.npy,0.07636338472366333,0.8212299678547127,42619,0.0,ok
6-6-21_z1600_y638_x565.npy,6-6-21_z1600_y638_x565.npy,0.07637804746627808,0.7350933568563207,47613,0.0,ok
6-6-22_z3200_y377_x552.npy,6-6-22_z3200_y377_x552.npy,0.07638770341873169,0.8828574311371203,39644,0.0,ok
