Epoch,Global_Step,Time,LR,VAE_Total_Loss,Rec_Loss(L1),P_Loss(LPIPS),KL_Loss,G_Loss(Adv),D_Weight,D_Loss(Disc),Logits_Real,Logits_Fake
1,926,2026-01-25 10:53:55,4.50e-06,0.440276,0.077580,0.330078,32618.060547,-0.096680,0.0000,0.000000,0.0000,0.0000
1,927,2026-01-25 10:53:58,4.50e-06,0.476236,0.080836,0.363281,32118.261719,-0.086914,0.0000,0.000000,0.0000,0.0000
1,928,2026-01-25 10:54:01,4.50e-06,0.508738,0.125799,0.353516,29423.072266,-0.086426,0.0000,0.000000,0.0000,0.0000
1,929,2026-01-25 10:54:04,4.50e-06,0.451304,0.098675,0.320312,32316.542969,-0.093262,0.0000,0.000000,0.0000,0.0000
1,930,2026-01-25 10:54:07,4.50e-06,0.506326,0.110930,0.365234,30162.039062,-0.093750,0.0000,0.000000,0.0000,0.0000
1,931,2026-01-25 10:54:10,4.50e-06,0.474198,0.100177,0.343750,30270.845703,-0.105957,0.0000,0.000000,0.0000,0.0000
1,932,2026-01-25 10:54:13,4.50e-06,0.430630,0.080452,0.320312,29865.794922,-0.096680,0.0000,0.000000,0.0000,0.0000
1,933,2026-01-25 10:54:16,4.50e-06,0.399570,0.062733,0.306641,30196.792969,-0.086914,0.0000,0.000000,0.0000,0.0000
1,934,2026-01-25 10:54:20,4.50e-06,0.478376,0.125348,0.322266,30761.677734,-0.083496,0.0000,0.000000,0.0000,0.0000
1,935,2026-01-25 10:54:23,4.50e-06,0.398445,0.068035,0.300781,29628.160156,-0.090820,0.0000,0.000000,0.0000,0.0000
1,936,2026-01-25 10:54:26,4.50e-06,0.463998,0.103469,0.330078,30450.753906,-0.099121,0.0000,0.000000,0.0000,0.0000
1,937,2026-01-25 10:54:29,4.50e-06,0.443653,0.091537,0.322266,29850.011719,-0.072266,0.0000,0.000000,0.0000,0.0000
1,938,2026-01-25 10:54:32,4.50e-06,0.457861,0.098632,0.328125,31103.669922,-0.078125,0.0000,0.000000,0.0000,0.0000
1,939,2026-01-25 10:54:35,4.50e-06,0.456057,0.103014,0.324219,28823.634766,-0.094238,0.0000,0.000000,0.0000,0.0000
1,940,2026-01-25 10:54:38,4.50e-06,0.458125,0.101748,0.324219,32158.027344,-0.087891,0.0000,0.000000,0.0000,0.0000
1,941,2026-01-25 10:54:41,4.50e-06,0.458321,0.114532,0.314453,29335.003906,-0.094727,0.0000,0.000000,0.0000,0.0000
1,942,2026-01-25 10:54:44,4.50e-06,0.461286,0.096412,0.333984,30889.773438,-0.073242,0.0000,0.000000,0.0000,0.0000
1,943,2026-01-25 10:54:47,4.50e-06,0.430325,0.069833,0.332031,28460.187500,-0.081055,0.0000,0.000000,0.0000,0.0000
1,944,2026-01-25 10:54:50,4.50e-06,0.406586,0.068794,0.306641,31151.566406,-0.094238,0.0000,0.000000,0.0000,0.0000
1,945,2026-01-25 10:54:53,4.50e-06,0.448396,0.059279,0.357422,31694.375000,-0.087402,0.0000,0.000000,0.0000,0.0000
1,946,2026-01-25 10:54:56,4.50e-06,0.457512,0.098672,0.328125,30714.847656,-0.057861,0.0000,0.000000,0.0000,0.0000
1,947,2026-01-25 10:54:59,4.50e-06,0.415529,0.082459,0.304688,28382.578125,-0.092285,0.0000,0.000000,0.0000,0.0000
1,948,2026-01-25 10:55:02,4.50e-06,0.483351,0.112388,0.341797,29166.429688,-0.078613,0.0000,0.000000,0.0000,0.0000
1,949,2026-01-25 10:55:05,4.50e-06,0.520228,0.157159,0.328125,34944.242188,-0.101562,0.0000,0.000000,0.0000,0.0000
1,950,2026-01-25 10:55:08,4.50e-06,0.498274,0.131839,0.333984,32450.414062,-0.100586,0.0000,0.000000,0.0000,0.0000
1,951,2026-01-25 10:55:11,4.50e-06,0.427705,0.065777,0.330078,31850.519531,-0.086426,0.0000,0.000000,0.0000,0.0000
1,952,2026-01-25 10:55:14,4.50e-06,0.450716,0.090871,0.330078,29766.847656,-0.092285,0.0000,0.000000,0.0000,0.0000
1,953,2026-01-25 10:55:17,4.50e-06,0.405517,0.068380,0.304688,32449.298828,-0.075195,0.0000,0.000000,0.0000,0.0000
1,954,2026-01-25 10:55:20,4.50e-06,0.491749,0.133180,0.326172,32397.148438,-0.062500,0.0000,0.000000,0.0000,0.0000
1,955,2026-01-25 10:55:23,4.50e-06,0.463118,0.104100,0.326172,32845.960938,-0.083984,0.0000,0.000000,0.0000,0.0000
1,956,2026-01-25 10:55:26,4.50e-06,0.490485,0.114079,0.345703,30702.042969,-0.089355,0.0000,0.000000,0.0000,0.0000
1,957,2026-01-25 10:55:29,4.50e-06,0.447758,0.074489,0.341797,31472.945312,-0.103027,0.0000,0.000000,0.0000,0.0000
1,958,2026-01-25 10:55:33,4.50e-06,0.437604,0.097880,0.308594,31130.000000,-0.090332,0.0000,0.000000,0.0000,0.0000
1,959,2026-01-25 10:55:36,4.50e-06,0.410461,0.073215,0.304688,32559.021484,-0.086914,0.0000,0.000000,0.0000,0.0000
1,960,2026-01-25 10:55:39,4.50e-06,0.527027,0.143451,0.351562,32014.035156,-0.083496,0.0000,0.000000,0.0000,0.0000
1,961,2026-01-25 10:55:42,4.50e-06,0.500272,0.136762,0.332031,31478.507812,-0.083984,0.0000,0.000000,0.0000,0.0000
1,962,2026-01-25 10:55:45,4.50e-06,0.564841,0.178021,0.355469,31351.376953,-0.080078,0.0000,0.000000,0.0000,0.0000
1,963,2026-01-25 10:55:48,4.50e-06,0.478615,0.120589,0.328125,29901.675781,-0.104492,0.0000,0.000000,0.0000,0.0000
1,964,2026-01-25 10:55:51,4.50e-06,0.425237,0.090417,0.304688,30131.628906,-0.060303,0.0000,0.000000,0.0000,0.0000
1,965,2026-01-25 10:55:54,4.50e-06,0.428780,0.069317,0.330078,29385.562500,-0.072754,0.0000,0.000000,0.0000,0.0000
1,966,2026-01-25 10:55:57,4.50e-06,0.450767,0.077470,0.341797,31500.265625,-0.088379,0.0000,0.000000,0.0000,0.0000
1,967,2026-01-25 10:56:00,4.50e-06,0.443272,0.090247,0.322266,30759.246094,-0.101074,0.0000,0.000000,0.0000,0.0000
1,968,2026-01-25 10:56:03,4.50e-06,0.453036,0.105014,0.316406,31615.445312,-0.061279,0.0000,0.000000,0.0000,0.0000
1,969,2026-01-25 10:56:06,4.50e-06,0.430945,0.080840,0.320312,29792.601562,-0.105469,0.0000,0.000000,0.0000,0.0000
