Epoch,Step,Total_Loss,Recon_Loss,VQ_Loss,Perplexity,LR
2,300,25.427368,0.030178,25.397190,2.296782,0.00001928
2,301,20.901516,0.036061,20.865456,2.209671,0.00001934
2,302,26.351418,0.021007,26.330410,2.227923,0.00001940
2,303,28.685438,0.044307,28.641132,2.260008,0.00001946
2,304,25.738882,0.026829,25.712053,2.343409,0.00001952
2,305,27.792933,0.026946,27.765987,2.310191,0.00001958
2,306,23.231598,0.022274,23.209324,2.403147,0.00001964
2,307,18.186565,0.014273,18.172293,2.833653,0.00001970
2,308,20.993271,0.019059,20.974213,2.481328,0.00001976
2,309,23.667482,0.031361,23.636122,2.529227,0.00001983
2,310,25.035868,0.025317,25.010551,2.784150,0.00001989
2,311,29.749168,0.035336,29.713833,2.396641,0.00001995
2,312,26.895159,0.025820,26.869339,2.635271,0.00002001
2,313,31.484438,0.032016,31.452423,2.275232,0.00002007
2,314,32.752956,0.038803,32.714153,2.343382,0.00002013
2,315,26.985449,0.031718,26.953732,2.718915,0.00002019
2,316,24.860239,0.020600,24.839640,2.716548,0.00002025
2,317,29.153612,0.027384,29.126228,2.386887,0.00002031
2,318,27.104298,0.020795,27.083504,2.769749,0.00002037
2,319,32.057354,0.042808,32.014545,2.634702,0.00002043
2,320,32.613441,0.030696,32.582745,2.373335,0.00002050
2,321,31.991919,0.033354,31.958565,2.660772,0.00002056
2,322,31.248211,0.025637,31.222574,2.495274,0.00002062
2,323,27.696877,0.024026,27.672852,2.769061,0.00002068
2,324,31.925463,0.030475,31.894989,2.441758,0.00002074
2,325,33.401863,0.034472,33.367390,2.446527,0.00002080
2,326,30.513655,0.027545,30.486109,2.868917,0.00002086
3,327,31.469118,0.020086,31.449032,2.484066,0.00002092
3,328,20.500574,0.016479,20.484095,2.921651,0.00002098
3,329,29.013958,0.026874,28.987083,2.782714,0.00002104
3,330,33.868382,0.031217,33.837166,2.348973,0.00002110
3,331,35.675095,0.028521,35.646572,2.329953,0.00002117
3,332,25.033348,0.019534,25.013813,3.077982,0.00002123
3,333,36.741238,0.042530,36.698708,2.377306,0.00002129
3,334,34.047535,0.034252,34.013283,2.877822,0.00002135
3,335,34.434242,0.026321,34.407921,2.434327,0.00002141
3,336,30.548584,0.024545,30.524040,2.879031,0.00002147
3,337,23.733660,0.024866,23.708794,3.206557,0.00002153
3,338,29.125860,0.028838,29.097021,2.918763,0.00002159
3,339,33.290043,0.031612,33.258430,2.801593,0.00002165
3,340,26.416880,0.023737,26.393143,3.156968,0.00002171
3,341,34.827457,0.027937,34.799522,2.884553,0.00002177
3,342,33.000282,0.032914,32.967369,3.073355,0.00002184
3,343,28.349228,0.017818,28.331409,2.837204,0.00002190
3,344,37.340160,0.024122,37.316040,2.434716,0.00002196
3,345,35.407005,0.020415,35.386589,2.762075,0.00002202
3,346,37.289478,0.030164,37.259315,2.474576,0.00002208
3,347,38.713673,0.027678,38.685993,2.404035,0.00002214
3,348,23.505749,0.019284,23.486465,3.188910,0.00002220
3,349,29.751190,0.027962,29.723228,3.063015,0.00002226
3,350,30.790895,0.019859,30.771036,3.025444,0.00002232
3,351,37.568611,0.039001,37.529610,2.435601,0.00002238
3,352,28.657633,0.018439,28.639193,3.186747,0.00002244
3,353,35.953159,0.031607,35.921551,2.675113,0.00002251
3,354,28.721344,0.018482,28.702862,3.064033,0.00002257
3,355,32.073219,0.018939,32.054279,2.641243,0.00002263
3,356,36.945335,0.023180,36.922153,2.743981,0.00002269
3,357,24.927881,0.029972,24.897909,3.079521,0.00002275
3,358,30.127069,0.024513,30.102556,3.094695,0.00002281
3,359,25.265308,0.017858,25.247450,2.954882,0.00002287
3,360,33.339401,0.019542,33.319859,2.455869,0.00002293
3,361,29.694708,0.022234,29.672474,3.105820,0.00002299
3,362,32.738533,0.020716,32.717815,2.490459,0.00002305
3,363,33.053204,0.020648,33.032555,2.692132,0.00002312
3,364,28.972267,0.018603,28.953665,3.256786,0.00002318
3,365,28.366001,0.023783,28.342218,3.264819,0.00002324
3,366,25.879391,0.015533,25.863857,3.241914,0.00002330
3,367,33.709644,0.033215,33.676430,2.640609,0.00002336
